Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Day's Gain Realized $,Available For Withdrawal,Intraday Marginable Securities,Intraday Non-Marginable Securities
"Individual Brokerage -9310",59359.17,-51316.70,-38.20,2970.00,3.71,572.87,34609.17,142082.64,35520.66

SEARCH CRITERIA
Account,Start Date,End  Date,Symbol,Security Type,Covered,Term
"Individual Brokerage -9310",06/10/2022,06/15/2022,All,All Securities ,All,Short,


TAXABLE G&L SUMMARY
Total Gain Realized,Short-Term Gain Realized,Long-Term Gain Realized,Deferred Loss,Total Commissions & Fees
2215.95,2215.95,.00,-1404.19,20.05,
TAXABLE G&L DETAILS
Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $,Deferred Loss $,Term,Lot Selection
TQQQ,14000,--,--,342877.43,--,--,342120.05,484.55,-1241.93,Short,--
    Sell,1000,06/15/2022,25.02,25019.50,06/15/2022,25.15,25149.29,129.79,--,Short,FIFO,
    Sell,1000,06/15/2022,24.89,24890.00,06/15/2022,25.02,25019.29,129.29,--,Short,FIFO,
    Sell,1000,06/15/2022,24.41,24409.10,06/15/2022,24.52,24519.9,110.80,--,Short,FIFO,
    Sell,1000,06/13/2022,23.13,23134.48,06/14/2022,23.15,23149.63,15.15,.00,Short,FIFO,
    Sell,1000,06/14/2022,23.50,23495.57,06/14/2022,23.28,23284.33,.00,-211.24,Short,FIFO,
    Sell,1000,06/14/2022,23.08,23080.79,06/14/2022,22.76,22764.34,-316.45,.00,Short,FIFO,
    Sell,1000,06/14/2022,23.00,22995.44,06/14/2022,22.56,22564.35,.00,-431.09,Short,FIFO,
    Sell,1000,06/14/2022,23.48,23480.00,06/14/2022,23.17,23174.33,.00,-305.67,Short,FIFO,
    Sell,1000,06/14/2022,23.22,23219.50,06/14/2022,23.23,23234.33,14.83,--,Short,FIFO,
    Sell,1000,06/13/2022,23.94,23945.00,06/13/2022,23.77,23770.02,.00,-174.98,Short,FIFO,
    Sell,1000,06/13/2022,24.28,24285.00,06/13/2022,24.56,24555.6,270.60,--,Short,FIFO,
    Sell,1000,06/10/2022,26.94,26943.95,06/10/2022,26.99,26994.25,50.30,.00,Short,FIFO,
    Sell,1000,06/10/2022,26.94,26939.10,06/10/2022,26.82,26820.15,.00,-118.95,Short,FIFO,
    Sell,1000,06/10/2022,27.04,27040.00,06/10/2022,27.12,27120.24,80.24,--,Short,FIFO,
SQQQ,6700,--,--,406149.78,--,--,407718.9212,1731.40,-162.26,Short,--
    Sell,100,06/15/2022,58.44,5844.50,06/15/2022,57.86,5785.8504,-58.65,--,Short,FIFO,
    Sell,200,06/15/2022,58.44,11689.00,06/15/2022,57.85,11569.904,-119.10,--,Short,FIFO,
    Sell,200,06/15/2022,58.44,11689.00,06/15/2022,57.86,11571.7008,-117.30,--,Short,FIFO,
    Sell,500,06/15/2022,58.83,29416.85,06/15/2022,59.33,29664.655,247.80,--,Short,FIFO,
    Sell,500,06/15/2022,60.92,30457.50,06/15/2022,61.20,30599.225,141.72,--,Short,FIFO,
    Sell,500,06/15/2022,60.83,30414.75,06/15/2022,60.77,30384.585,-30.16,--,Short,FIFO,
    Sell,500,06/15/2022,60.90,30447.50,06/15/2022,60.81,30404.235,-43.26,--,Short,FIFO,
    Sell,100,06/15/2022,60.85,6084.99,06/15/2022,61.21,6121.345,36.36,--,Short,FIFO,
    Sell,9,06/15/2022,60.85,547.65,06/15/2022,61.21,550.92105,3.27,--,Short,FIFO,
    Sell,391,06/15/2022,60.85,23792.15,06/15/2022,61.21,23934.45895,142.30,--,Short,FIFO,
    Sell,500,06/14/2022,64.07,32034.60,06/14/2022,64.21,32104.19,69.59,.00,Short,FIFO,
    Sell,500,06/14/2022,63.72,31862.50,06/14/2022,63.44,31719.25,.00,-143.25,Short,FIFO,
    Sell,500,06/14/2022,64.43,32213.20,06/14/2022,64.39,32194.19,.00,-19.01,Short,FIFO,
    Sell,500,06/14/2022,64.15,32073.96,06/14/2022,64.47,32236.69,162.73,.00,Short,FIFO,
    Sell,500,06/14/2022,63.54,31769.95,06/14/2022,63.82,31911.695,141.74,--,Short,FIFO,
    Sell,400,06/10/2022,54.42,21768.00,06/10/2022,55.57,22227.76,459.76,.00,Short,FIFO,
    Sell,400,06/10/2022,55.83,22331.72,06/10/2022,56.28,22510.508,178.79,--,Short,FIFO,
    Sell,400,06/10/2022,54.28,21711.96,06/10/2022,55.57,22227.758,515.80,--,Short,FIFO,
Total,,,,749027.21,,,749838.97,2215.95,-1404.19,
Generated at Jun 15 2022 05:46 PM ET
