Symbol,Quantity,OpenDate,Open Price,Open Net Amount,Close Order,Close Date,Close Price,Close Net Amount,Gain/Loss,Gain Term
TQQQ,"1,000",06/10/2022,26.94,"26,939.10",S,06/10/2022,26.82,"26,820.15",-118.95,Short
TQQQ,"1,000",06/10/2022,27.04,"27,040.00",S,06/10/2022,27.12,"27,120.24",80.24,Short
TQQQ,"1,000",06/10/2022,26.82,"26,825.00",S,06/10/2022,27.00,"26,994.25",169.25,Short
TQQQ,"1,000",06/13/2022,23.95,"23,945.00",S,06/13/2022,23.77,"23,770.02",-174.98,Short
TQQQ,"1,000",06/13/2022,24.29,"24,285.00",S,06/13/2022,24.56,"24,555.60",270.60,Short
TQQQ,"1,000",06/14/2022,23.22,"23,219.50",S,06/14/2022,23.23,"23,234.33",14.83,Short
TQQQ,"1,000",06/14/2022,23.48,"23,480.00",S,06/14/2022,23.18,"23,174.33",-305.67,Short
TQQQ,"1,000",06/14/2022,22.96,"22,959.50",S,06/14/2022,23.15,"23,149.63",190.13,Short
TQQQ,"1,000",06/14/2022,23.19,"23,189.90",S,06/14/2022,23.29,"23,284.33",94.43,Short
TQQQ,"1,000",06/14/2022,22.78,"22,784.20",S,06/14/2022,22.57,"22,564.35",-219.85,Short
TQQQ,"1,000",06/14/2022,22.65,"22,649.70",S,06/14/2022,22.77,"22,764.34",114.64,Short
TQQQ,"1,000",06/15/2022,24.41,"24,409.10",S,06/15/2022,24.52,"24,519.90",110.80,Short
TQQQ,"1,000",06/16/2022,22.33,"22,329.90",S,06/16/2022,22.43,"22,429.45",99.55,Short
TQQQ,"1,000",06/16/2022,22.27,"22,265.00",S,06/16/2022,22.33,"22,329.35",64.35,Short
TQQQ,"1,000",06/16/2022,22.42,"22,419.20",S,06/16/2022,22.25,"22,250.26",-168.94,Short
TQQQ,"1,000",06/16/2022,22.79,"22,789.80",S,06/16/2022,22.88,"22,880.04",90.24,Short
TQQQ,"1,000",06/16/2022,22.91,"22,909.50",S,06/16/2022,22.98,"22,979.44",69.94,Short
TQQQ,"1,000",06/15/2022,24.89,"24,890.00",S,06/15/2022,25.02,"25,019.29",129.29,Short
TQQQ,"1,000",06/15/2022,25.02,"25,019.50",S,06/15/2022,25.15,"25,149.29",129.79,Short
TQQQ,"1,000",06/17/2022,21.89,"21,890.00",S,06/17/2022,21.87,"21,869.46",-20.54,Short
