Date,Open,High,Low,Close,Volume
24-Aug-12,11.52,11.53,11.34,11.52,11073904
23-Aug-12,11.66,11.67,11.50,11.55,10385301
22-Aug-12,11.85,11.86,11.57,11.73,10455344
21-Aug-12,12.02,12.13,11.80,11.86,10854959
20-Aug-12,11.95,12.00,11.81,11.99,11823463
17-Aug-12,11.81,12.00,11.75,11.99,2861166
16-Aug-12,11.64,11.75,11.60,11.75,1717285
15-Aug-12,11.51,11.62,11.47,11.59,1377655
14-Aug-12,11.59,11.62,11.48,11.52,1439895
13-Aug-12,11.61,11.71,11.45,11.52,1654834
10-Aug-12,11.55,11.59,11.48,11.57,1525236
9-Aug-12,11.56,11.64,11.43,11.59,1884873
8-Aug-12,11.49,11.72,11.49,11.61,2827995
7-Aug-12,11.32,11.58,11.32,11.53,3241634
6-Aug-12,11.37,11.41,11.27,11.28,2132987
3-Aug-12,11.33,11.42,11.23,11.34,1607031
2-Aug-12,11.14,11.31,11.06,11.23,10391968
1-Aug-12,11.43,11.45,10.62,11.31,26500388
31-Jul-12,11.40,11.49,11.31,11.41,11246288
30-Jul-12,11.50,11.55,11.35,11.42,9473754
27-Jul-12,11.25,11.63,11.18,11.53,12643823
26-Jul-12,11.12,11.34,10.98,11.23,22643583
25-Jul-12,11.99,12.02,11.05,11.14,38348377
24-Jul-12,12.17,12.19,11.94,12.07,11260712
23-Jul-12,12.09,12.17,11.95,12.12,9605409
20-Jul-12,12.37,12.41,12.17,12.27,10936277
19-Jul-12,12.51,12.54,12.40,12.46,10233209
18-Jul-12,12.29,12.55,12.28,12.39,14800056
17-Jul-12,12.30,12.37,12.14,12.34,9780246
16-Jul-12,12.31,12.31,12.17,12.25,9457746
13-Jul-12,12.34,12.39,12.23,12.32,9848756
12-Jul-12,12.28,12.37,12.10,12.33,16681050
11-Jul-12,12.47,12.60,12.32,12.42,10996826
10-Jul-12,12.70,12.81,12.45,12.54,8913586
9-Jul-12,12.79,12.79,12.54,12.67,10744556
6-Jul-12,12.88,12.94,12.65,12.79,9071571
5-Jul-12,13.05,13.14,13.00,13.00,8227970
3-Jul-12,12.94,13.12,12.86,13.08,4611891
2-Jul-12,12.92,12.93,12.77,12.91,8171648
29-Jun-12,12.85,12.96,12.71,12.93,12473380
28-Jun-12,12.50,12.60,12.40,12.59,9367256
27-Jun-12,12.47,12.67,12.44,12.59,8181737
26-Jun-12,12.47,12.57,12.30,12.43,11347044
25-Jun-12,12.70,12.73,12.40,12.45,10563222
22-Jun-12,12.86,12.91,12.72,12.86,13646944
21-Jun-12,13.23,13.30,12.73,12.78,15772973
20-Jun-12,13.20,13.32,13.07,13.26,9372699
19-Jun-12,13.17,13.39,13.13,13.25,10321148
18-Jun-12,12.98,13.17,12.95,13.10,10551875
15-Jun-12,13.13,13.19,12.98,13.01,17387417
14-Jun-12,13.06,13.08,12.84,13.02,10410558
13-Jun-12,13.18,13.19,12.97,13.05,10897428
12-Jun-12,12.95,13.20,12.90,13.18,11742039
11-Jun-12,13.28,13.29,12.90,12.91,12789737
8-Jun-12,12.82,13.15,12.82,13.13,11503105
7-Jun-12,12.98,13.09,12.88,12.90,14198409
6-Jun-12,12.64,12.85,12.59,12.83,19071798
5-Jun-12,12.23,12.52,12.21,12.47,15894522
4-Jun-12,12.64,12.64,12.17,12.24,20326430
1-Jun-12,12.74,13.02,12.57,12.61,23629706
31-May-12,12.86,13.13,12.75,12.99,20607030
30-May-12,13.00,13.00,12.86,12.86,11827119
29-May-12,12.99,13.14,12.95,13.10,16600250
25-May-12,12.77,12.98,12.77,12.91,10229006
24-May-12,12.88,12.91,12.71,12.81,21761968
23-May-12,12.96,14.17,12.48,12.77,28914390
22-May-12,13.16,13.29,13.02,13.11,12792646
21-May-12,12.78,13.24,12.75,13.18,13317557
18-May-12,12.90,12.94,12.70,12.75,16321187
17-May-12,12.90,13.00,12.76,12.82,12478195
16-May-12,13.23,13.30,12.90,12.92,14289758
15-May-12,13.32,13.36,13.11,13.16,14636877
14-May-12,13.19,13.39,13.16,13.31,10475417
