Date,Open,High,Low,Close,Volume
24-Aug-12,22.40,22.59,22.36,22.52,437694
23-Aug-12,22.45,22.54,22.32,22.41,458680
22-Aug-12,22.48,22.51,22.26,22.46,524286
21-Aug-12,22.50,22.59,22.43,22.44,577091
20-Aug-12,22.52,22.57,22.28,22.34,1200681
17-Aug-12,21.91,21.99,21.81,21.97,139747
16-Aug-12,21.89,21.94,21.73,21.83,141185
15-Aug-12,21.72,21.85,21.72,21.83,79114
14-Aug-12,21.78,21.87,21.66,21.75,73418
13-Aug-12,21.62,21.74,21.53,21.74,97081
10-Aug-12,21.57,21.69,21.53,21.62,125231
9-Aug-12,21.96,21.96,21.66,21.69,101445
8-Aug-12,21.92,22.06,21.83,21.91,116681
7-Aug-12,21.98,22.13,21.76,21.92,153935
6-Aug-12,22.01,22.02,21.78,21.95,107552
3-Aug-12,21.81,22.14,21.66,22.02,201322
2-Aug-12,22.05,22.05,20.90,21.58,1158673
1-Aug-12,23.00,23.03,20.69,21.97,7187453
31-Jul-12,22.75,22.95,22.65,22.90,239794
30-Jul-12,22.48,22.84,22.25,22.75,210070
27-Jul-12,22.53,22.68,22.43,22.54,274261
26-Jul-12,22.83,22.89,22.35,22.44,210258
25-Jul-12,22.81,22.81,22.50,22.56,211774
24-Jul-12,22.83,22.85,22.53,22.64,171038
23-Jul-12,22.66,22.83,22.66,22.75,202057
20-Jul-12,22.74,22.95,22.66,22.94,249714
19-Jul-12,23.10,23.13,22.78,22.83,270884
18-Jul-12,23.54,23.60,23.44,23.48,367265
17-Jul-12,23.52,23.67,23.42,23.46,369426
16-Jul-12,23.31,23.50,23.31,23.46,221182
13-Jul-12,23.21,23.35,23.17,23.29,238457
12-Jul-12,23.09,23.15,22.91,23.04,343579
11-Jul-12,23.34,23.38,22.99,23.06,327284
10-Jul-12,23.40,23.51,23.14,23.26,339166
9-Jul-12,23.23,23.29,23.07,23.27,253653
6-Jul-12,22.88,23.23,22.80,23.16,298241
5-Jul-12,23.17,23.23,22.93,22.95,222138
3-Jul-12,23.16,23.20,22.94,23.09,173682
2-Jul-12,22.76,23.07,22.64,23.07,344424
29-Jun-12,22.55,22.62,22.35,22.62,240488
28-Jun-12,21.92,22.18,21.79,22.16,228041
27-Jun-12,21.73,22.00,21.70,21.97,207456
26-Jun-12,21.62,21.85,21.39,21.63,273388
25-Jun-12,21.59,21.78,21.48,21.62,233105
22-Jun-12,21.94,21.94,21.74,21.90,560320
21-Jun-12,22.11,22.18,21.71,21.80,161886
20-Jun-12,22.07,22.22,21.96,22.04,192852
19-Jun-12,21.81,22.28,21.75,22.12,225047
18-Jun-12,21.51,21.80,21.47,21.74,205375
15-Jun-12,21.27,21.59,21.22,21.58,360067
14-Jun-12,21.24,21.39,21.10,21.25,283633
13-Jun-12,21.26,21.49,21.07,21.15,318880
12-Jun-12,21.36,21.46,21.17,21.37,149330
11-Jun-12,22.03,22.03,21.28,21.30,226497
8-Jun-12,21.79,22.00,21.76,21.90,206650
7-Jun-12,22.08,22.26,21.81,21.84,338670
6-Jun-12,21.66,21.94,21.49,21.92,246112
5-Jun-12,20.73,21.49,20.65,21.49,362944
4-Jun-12,20.95,21.07,20.64,20.88,331918
1-Jun-12,21.10,21.30,21.00,21.00,244335
31-May-12,21.36,21.56,21.24,21.39,237513
30-May-12,21.73,21.80,21.34,21.36,197348
29-May-12,21.84,21.99,21.71,21.89,106367
25-May-12,21.79,21.89,21.68,21.82,172702
24-May-12,21.91,21.91,21.40,21.74,233250
23-May-12,21.64,21.80,21.43,21.75,229645
22-May-12,21.96,22.00,21.63,21.76,243247
21-May-12,21.75,22.07,21.66,21.98,274699
18-May-12,21.98,22.09,21.65,21.66,259910
17-May-12,22.52,22.52,22.00,22.00,269930
16-May-12,22.71,22.71,22.41,22.43,166970
15-May-12,22.67,22.71,22.48,22.58,228646
14-May-12,22.74,22.79,22.59,22.62,179608
11-May-12,22.98,23.07,22.79,22.91,198490
10-May-12,23.11,23.12,22.79,23.05,187548
9-May-12,22.75,23.24,22.75,23.06,350640
8-May-12,22.75,22.94,22.67,22.92,191675
7-May-12,22.65,22.81,22.58,22.80,211081
4-May-12,22.87,22.93,22.65,22.68,269019
3-May-12,23.13,23.15,22.86,22.89,239011
2-May-12,23.16,23.24,22.96,23.14,317853
1-May-12,23.22,23.49,23.06,23.20,356584
30-Apr-12,23.46,23.46,23.11,23.22,229715
27-Apr-12,23.42,23.48,23.22,23.46,230631
26-Apr-12,23.33,23.46,23.14,23.31,206518
25-Apr-12,23.47,23.59,23.23,23.30,428615
24-Apr-12,23.07,23.43,23.00,23.35,371882
23-Apr-12,23.48,23.61,23.31,23.59,405443
20-Apr-12,23.67,23.76,23.47,23.58,370772
19-Apr-12,23.59,23.70,23.24,23.37,412536
18-Apr-12,23.49,23.63,23.40,23.52,350994
17-Apr-12,23.67,23.67,23.42,23.50,435955
16-Apr-12,23.35,23.49,23.23,23.41,284730
13-Apr-12,23.44,23.52,23.18,23.22,257636
12-Apr-12,23.37,23.46,23.20,23.43,223516
11-Apr-12,23.22,23.34,22.95,23.34,374258
10-Apr-12,23.51,23.66,22.96,23.06,550375
9-Apr-12,23.59,23.96,23.59,23.72,267093
5-Apr-12,24.07,24.07,23.78,23.90,232309
4-Apr-12,24.16,24.26,23.93,24.04,293231
3-Apr-12,24.58,24.63,24.26,24.33,238625
2-Apr-12,24.12,24.54,24.08,24.53,258841
30-Mar-12,24.12,24.22,23.98,24.11,284912
29-Mar-12,23.98,24.09,23.76,24.03,165276
28-Mar-12,23.89,24.07,23.78,24.07,214116
27-Mar-12,23.86,24.05,23.80,23.83,277512
26-Mar-12,23.82,23.96,23.57,23.81,263997
23-Mar-12,23.59,23.66,23.40,23.56,313875
22-Mar-12,23.96,23.96,23.47,23.52,311620
21-Mar-12,24.29,24.34,24.03,24.06,169880
20-Mar-12,24.21,24.36,24.17,24.20,153338
19-Mar-12,24.11,24.44,24.00,24.28,304093
16-Mar-12,23.87,24.07,23.75,24.07,255349
15-Mar-12,23.73,23.93,23.52,23.83,167263
14-Mar-12,23.75,23.93,23.58,23.67,185806
13-Mar-12,23.75,23.84,23.61,23.78,519655
12-Mar-12,23.89,23.93,23.62,23.63,192490
9-Mar-12,23.67,23.95,23.54,23.80,249375
8-Mar-12,23.69,23.72,23.35,23.67,247305
7-Mar-12,23.54,23.65,23.35,23.65,179266
6-Mar-12,23.45,23.67,23.44,23.47,286955
5-Mar-12,23.13,23.56,23.13,23.56,284272
2-Mar-12,23.32,23.44,23.13,23.18,267312
1-Mar-12,23.34,23.56,23.29,23.33,231656
29-Feb-12,23.48,23.60,23.29,23.33,515552
28-Feb-12,23.77,23.81,23.28,23.39,351356
27-Feb-12,23.50,23.74,23.42,23.71,221599
24-Feb-12,24.01,24.08,23.40,23.57,298027
23-Feb-12,23.64,23.78,23.45,23.77,381714
22-Feb-12,23.81,24.25,23.49,23.50,405382
21-Feb-12,23.98,23.99,23.46,23.66,309366
17-Feb-12,23.96,23.96,23.78,23.85,171298
16-Feb-12,23.26,23.89,23.24,23.84,277866
15-Feb-12,23.56,23.56,23.13,23.25,271748
14-Feb-12,23.80,23.80,23.32,23.46,215874
13-Feb-12,23.94,24.00,23.71,23.80,279482
10-Feb-12,23.67,23.89,23.64,23.72,263901
9-Feb-12,24.10,24.17,23.75,23.89,175134
8-Feb-12,24.22,24.34,23.96,24.05,237249
7-Feb-12,24.22,24.31,24.06,24.14,187288
6-Feb-12,24.46,24.55,24.10,24.19,253100
3-Feb-12,24.69,24.87,24.36,24.49,397532
2-Feb-12,24.77,24.77,24.45,24.52,283212
1-Feb-12,24.16,24.70,24.16,24.66,367677
31-Jan-12,24.00,24.14,23.73,24.10,229879
30-Jan-12,23.41,23.94,23.38,23.89,255196
27-Jan-12,23.50,23.70,23.49,23.59,299453
26-Jan-12,24.00,24.13,23.53,23.53,488184
25-Jan-12,23.90,23.95,23.73,23.95,252702
24-Jan-12,23.60,23.90,23.55,23.90,387869
23-Jan-12,24.15,24.24,23.73,24.15,357285
20-Jan-12,23.87,24.11,23.79,24.11,221899
19-Jan-12,23.78,24.00,23.59,23.85,249382
18-Jan-12,23.36,23.65,23.31,23.65,269677
17-Jan-12,23.23,23.48,23.16,23.30,220262
13-Jan-12,23.05,23.05,23.05,23.05,0
12-Jan-12,23.25,23.25,22.82,23.14,206158
11-Jan-12,23.05,23.25,22.91,23.22,133627
10-Jan-12,22.82,23.24,22.77,23.07,263972
9-Jan-12,22.68,22.72,22.41,22.56,257146
