Date,Open,High,Low,Close,Volume
24-Aug-12,14.31,14.67,14.28,14.60,8693058
23-Aug-12,14.61,14.62,14.25,14.30,9480902
22-Aug-12,14.52,14.70,14.47,14.64,7839785
21-Aug-12,14.70,14.79,14.46,14.61,8506158
20-Aug-12,14.60,14.67,14.43,14.65,7866227
17-Aug-12,14.78,14.78,14.52,14.65,7748035
16-Aug-12,14.61,14.82,14.56,14.78,9278652
15-Aug-12,14.64,14.76,14.40,14.48,14860411
14-Aug-12,14.86,14.88,14.53,14.59,9724901
13-Aug-12,14.64,14.82,14.58,14.81,11182924
10-Aug-12,15.10,15.22,14.43,14.62,31971799
9-Aug-12,14.25,14.74,14.23,14.71,20557490
8-Aug-12,14.14,14.38,14.10,14.23,12934189
7-Aug-12,14.18,14.30,14.07,14.15,10185456
6-Aug-12,13.85,14.08,13.83,14.01,9011753
3-Aug-12,13.65,13.86,13.33,13.72,8163636
2-Aug-12,13.32,13.64,13.10,13.44,9197768
1-Aug-12,13.62,13.75,13.33,13.39,8397777
31-Jul-12,13.33,13.73,13.31,13.54,9694627
30-Jul-12,13.48,13.65,13.22,13.33,9088710
27-Jul-12,13.20,13.52,13.10,13.48,9412868
26-Jul-12,13.33,13.48,13.05,13.15,8461413
25-Jul-12,12.80,13.22,12.74,13.09,10377037
24-Jul-12,13.00,13.08,12.68,12.84,8779263
23-Jul-12,12.47,13.07,12.33,12.98,11293530
20-Jul-12,13.11,13.20,12.67,12.80,11276770
19-Jul-12,13.15,13.36,13.06,13.18,10075900
18-Jul-12,12.34,13.24,12.28,13.06,15403316
17-Jul-12,12.64,12.71,12.16,12.37,11148947
16-Jul-12,12.48,12.70,12.36,12.60,8362493
13-Jul-12,12.41,12.62,12.33,12.56,8106829
12-Jul-12,12.47,12.49,12.28,12.40,11803985
11-Jul-12,12.86,13.02,12.55,12.61,12135658
10-Jul-12,13.08,13.47,12.72,12.82,12800888
9-Jul-12,13.32,13.38,13.11,13.22,7659746
6-Jul-12,13.56,13.60,13.25,13.40,9568987
5-Jul-12,13.71,13.77,13.45,13.66,7002927
3-Jul-12,13.45,13.83,13.44,13.80,5483773
2-Jul-12,13.89,13.90,13.34,13.44,14542420
29-Jun-12,13.55,13.85,13.54,13.82,15414631
28-Jun-12,13.02,13.32,12.91,13.24,13650998
27-Jun-12,12.74,13.23,12.74,13.14,12655089
26-Jun-12,12.66,12.82,12.48,12.73,10930186
25-Jun-12,13.01,13.05,12.54,12.59,12365339
22-Jun-12,13.00,13.15,12.82,13.00,21633941
21-Jun-12,13.44,13.44,12.81,12.84,12912374
20-Jun-12,13.37,13.70,13.29,13.45,24322181
19-Jun-12,12.91,13.43,12.85,13.24,24014021
18-Jun-12,12.20,12.50,12.10,12.40,7610565
15-Jun-12,12.12,12.30,12.01,12.29,9637079
14-Jun-12,12.16,12.26,11.91,12.03,14751544
13-Jun-12,12.50,12.53,12.12,12.18,12370002
12-Jun-12,12.40,12.63,12.38,12.51,12410242
11-Jun-12,12.51,12.73,12.23,12.26,20980682
8-Jun-12,11.93,12.16,11.91,12.12,9265131
7-Jun-12,12.57,12.64,11.88,11.89,13171593
6-Jun-12,12.16,12.42,12.07,12.39,9225138
5-Jun-12,11.67,12.10,11.67,12.06,9130955
4-Jun-12,12.04,12.11,11.63,11.73,10824315
1-Jun-12,12.17,12.29,11.96,11.98,11027470
31-May-12,12.57,12.62,12.27,12.43,8954822
30-May-12,12.58,12.67,12.35,12.57,9494793
29-May-12,12.60,12.80,12.55,12.72,7750437
25-May-12,12.10,12.50,12.10,12.40,9793870
24-May-12,12.51,12.53,12.02,12.11,13010829
23-May-12,12.01,12.46,11.82,12.44,12395821
22-May-12,12.28,12.30,11.96,12.14,10258486
21-May-12,12.10,12.35,12.02,12.29,10408963
18-May-12,12.68,12.74,12.02,12.08,14183399
17-May-12,12.79,12.91,12.65,12.65,8385998
16-May-12,13.02,13.17,12.70,12.74,11767073
15-May-12,13.13,13.42,12.94,13.00,15000016
14-May-12,13.10,13.33,12.83,13.13,10944415
11-May-12,13.45,13.68,13.16,13.21,35884745
10-May-12,12.63,12.65,12.22,12.42,14927203
9-May-12,12.24,12.61,12.12,12.51,13017921
8-May-12,12.36,12.54,12.14,12.46,11557988
7-May-12,12.48,12.69,12.37,12.47,15110990
4-May-12,12.55,12.62,12.26,12.26,13631042
3-May-12,12.88,12.96,12.55,12.63,10489016
2-May-12,13.18,13.23,12.78,12.85,17101239
1-May-12,12.93,13.37,12.93,13.23,10220088
30-Apr-12,12.91,13.07,12.82,13.00,6560297
27-Apr-12,13.07,13.14,12.84,12.98,11883834
26-Apr-12,13.07,13.20,12.98,13.09,13480351
25-Apr-12,13.01,13.18,12.77,13.08,18178814
24-Apr-12,13.27,13.38,12.75,12.82,18260959
23-Apr-12,13.16,13.28,12.91,13.23,17656234
20-Apr-12,13.74,13.78,13.36,13.39,12740924
19-Apr-12,13.69,14.21,13.59,13.66,16682464
18-Apr-12,13.93,14.00,13.70,13.87,10019076
17-Apr-12,14.03,14.20,13.97,14.02,11519917
16-Apr-12,14.26,14.30,13.76,13.99,11591106
13-Apr-12,14.55,14.62,14.15,14.16,7783029
12-Apr-12,14.36,14.76,14.30,14.68,9621629
11-Apr-12,14.35,14.65,14.30,14.34,9324274
10-Apr-12,14.38,14.58,14.09,14.16,11761581
9-Apr-12,14.40,14.49,14.16,14.44,9137855
5-Apr-12,14.67,14.85,14.58,14.63,9233270
4-Apr-12,14.85,15.04,14.56,14.65,12398136
3-Apr-12,15.44,15.46,15.00,15.08,10759320
2-Apr-12,15.36,15.49,15.11,15.33,10194318
30-Mar-12,15.36,15.49,15.14,15.40,13181903
29-Mar-12,15.14,15.35,14.95,15.23,9317801
28-Mar-12,15.01,15.36,14.90,15.16,22311982
27-Mar-12,14.78,15.00,14.75,14.82,10507623
26-Mar-12,14.69,14.79,14.55,14.72,7215483
23-Mar-12,14.40,14.59,14.30,14.54,7886589
22-Mar-12,14.35,14.56,14.31,14.44,10635444
21-Mar-12,14.40,14.59,14.24,14.46,11696563
20-Mar-12,14.56,14.56,14.27,14.40,11241227
19-Mar-12,14.68,14.75,14.57,14.64,10135502
16-Mar-12,14.59,14.66,14.51,14.60,10708843
15-Mar-12,14.41,14.66,14.36,14.58,9564493
14-Mar-12,14.79,14.82,14.32,14.36,18396991
13-Mar-12,14.65,14.87,14.58,14.79,13838184
12-Mar-12,14.88,14.98,14.55,14.58,7498730
9-Mar-12,14.90,15.01,14.74,14.82,9195823
8-Mar-12,14.85,15.01,14.77,14.86,10771486
7-Mar-12,14.80,14.87,14.60,14.81,11049586
6-Mar-12,14.69,14.81,14.46,14.72,11785700
5-Mar-12,15.27,15.30,14.75,14.86,12877763
2-Mar-12,15.20,15.60,15.20,15.38,17101859
1-Mar-12,15.21,15.43,15.15,15.25,11249134
29-Feb-12,15.38,15.64,15.14,15.15,17231357
28-Feb-12,15.47,15.65,15.17,15.33,17498048
27-Feb-12,15.59,15.66,15.24,15.47,18634252
24-Feb-12,15.96,15.98,15.72,15.79,9167727
23-Feb-12,15.85,16.00,15.60,15.91,8099102
22-Feb-12,15.85,16.24,15.80,15.82,12312086
21-Feb-12,15.84,16.32,15.81,15.92,12955217
17-Feb-12,16.46,16.57,15.70,15.85,25512430
16-Feb-12,15.06,16.58,15.00,16.45,47223210
15-Feb-12,16.39,16.90,16.13,16.17,27771364
14-Feb-12,16.15,16.38,16.01,16.24,11350467
13-Feb-12,16.30,16.36,15.82,16.15,15272031
10-Feb-12,16.14,16.20,15.81,15.90,11007217
9-Feb-12,16.51,16.60,16.27,16.30,14050995
8-Feb-12,15.74,16.62,15.66,16.31,21191229
7-Feb-12,15.72,15.83,15.46,15.74,10257531
6-Feb-12,15.74,15.76,15.56,15.70,6972667
3-Feb-12,15.72,15.95,15.69,15.82,12388778
2-Feb-12,15.01,15.55,14.86,15.48,17411491
1-Feb-12,14.94,15.10,14.73,14.93,10700480
31-Jan-12,14.84,14.85,14.51,14.77,8947428
30-Jan-12,14.65,14.87,14.43,14.80,9976870
27-Jan-12,14.62,14.99,14.50,14.91,11253705
26-Jan-12,15.07,15.24,14.63,14.71,19995196
25-Jan-12,14.54,14.89,14.12,14.85,31861141
24-Jan-12,14.51,15.00,14.50,14.94,18273000
23-Jan-12,14.23,14.62,14.05,14.61,14073674
20-Jan-12,14.33,14.50,14.17,14.22,13656710
19-Jan-12,14.10,14.37,13.95,14.35,15207925
18-Jan-12,13.78,14.09,13.70,13.98,15823933
17-Jan-12,13.94,13.94,13.50,13.52,15679825
13-Jan-12,13.73,13.73,13.73,13.73,0
12-Jan-12,14.22,14.23,13.79,14.10,16309571
11-Jan-12,14.35,14.48,14.13,14.19,12108921
10-Jan-12,14.76,14.77,14.38,14.48,13659484
9-Jan-12,14.55,14.82,14.44,14.54,12708863
6-Jan-12,14.70,14.71,14.37,14.54,13341151
5-Jan-12,14.13,14.78,14.07,14.71,14089284
4-Jan-12,14.05,14.26,13.92,14.20,8684216
3-Jan-12,14.30,14.40,14.01,14.04,11703338
30-Dec-11,13.86,13.86,13.86,13.86,0
29-Dec-11,13.85,14.00,13.65,13.97,5277991
28-Dec-11,13.71,13.71,13.71,13.71,0
27-Dec-11,14.11,14.28,14.02,14.06,4893716
23-Dec-11,14.16,14.16,14.16,14.16,0
22-Dec-11,13.76,14.35,13.76,14.30,14416187
21-Dec-11,13.82,13.97,13.45,13.72,13710540
20-Dec-11,13.46,13.95,13.46,13.90,11138012
19-Dec-11,13.57,13.73,13.11,13.16,11585844
16-Dec-11,13.57,13.83,13.45,13.51,15479668
15-Dec-11,13.81,13.90,13.43,13.46,10881738
14-Dec-11,14.01,14.09,13.43,13.58,15901947
13-Dec-11,14.72,14.90,14.04,14.13,12914883
12-Dec-11,14.54,14.54,14.54,14.54,0
9-Dec-11,14.58,15.02,14.38,14.90,13896485
8-Dec-11,15.02,15.27,14.64,14.69,12288755
7-Dec-11,15.16,15.28,14.85,15.17,12750900
6-Dec-11,15.57,15.60,15.10,15.26,14345771
5-Dec-11,15.98,16.00,15.35,15.48,16118161
2-Dec-11,15.99,16.05,15.57,15.72,13662984
1-Dec-11,15.50,15.86,15.43,15.82,13246874
30-Nov-11,15.36,15.67,15.23,15.63,18259095
29-Nov-11,14.81,15.10,14.67,14.91,15593537
28-Nov-11,14.50,15.05,14.50,14.83,17265914
25-Nov-11,14.25,14.58,14.00,14.04,10165406
23-Nov-11,14.44,14.44,14.44,14.44,0
22-Nov-11,14.79,15.16,14.70,15.08,32191345
21-Nov-11,13.71,14.77,13.50,14.63,33269626
18-Nov-11,14.14,14.14,13.78,13.93,12537292
17-Nov-11,14.55,14.59,13.80,14.06,16439665
16-Nov-11,14.60,14.99,14.53,14.58,12815668
15-Nov-11,14.55,14.98,14.51,14.88,12644108
14-Nov-11,14.98,15.13,14.65,14.69,12510972
11-Nov-11,14.88,15.10,14.07,14.98,43798157
10-Nov-11,14.67,14.82,14.11,14.47,24762018
9-Nov-11,14.73,14.92,14.26,14.32,13309636
8-Nov-11,14.93,15.17,14.69,15.08,13746594
7-Nov-11,14.71,14.96,14.40,14.74,15341572
4-Nov-11,14.52,14.87,14.29,14.82,16380312
3-Nov-11,13.97,14.68,13.60,14.65,18734278
2-Nov-11,14.20,14.27,13.53,13.82,24052336
1-Nov-11,14.26,14.30,13.92,14.06,19776107
31-Oct-11,15.10,15.19,14.80,14.80,13006058
28-Oct-11,15.12,15.74,15.08,15.60,12254622
27-Oct-11,15.16,15.40,14.82,15.25,14447705
26-Oct-11,14.73,14.81,14.20,14.62,12580782
25-Oct-11,14.81,14.93,14.42,14.45,14451086
24-Oct-11,14.54,15.25,14.51,15.02,13381588
21-Oct-11,14.59,14.83,14.24,14.48,15713951
20-Oct-11,14.76,14.82,13.84,14.41,24763378
19-Oct-11,15.50,15.77,15.12,15.17,13942165
18-Oct-11,14.86,15.52,14.77,15.48,14774030
17-Oct-11,15.54,15.54,14.86,14.94,15296689
14-Oct-11,15.73,15.89,15.34,15.72,17570763
13-Oct-11,14.54,15.49,14.50,15.46,21370722
12-Oct-11,14.90,14.91,14.60,14.61,15305072
11-Oct-11,14.66,14.90,14.57,14.62,20410174
10-Oct-11,14.39,14.78,14.36,14.78,13359387
7-Oct-11,13.95,14.36,13.66,14.15,20177799
6-Oct-11,13.43,13.93,13.41,13.89,19332167
5-Oct-11,12.87,13.48,12.61,13.36,21423392
4-Oct-11,11.52,12.90,11.47,12.90,34042594
3-Oct-11,12.35,12.74,11.81,11.81,23751307
30-Sep-11,12.88,12.95,12.49,12.51,16960726
29-Sep-11,13.66,13.89,12.75,13.09,21665363
28-Sep-11,13.87,14.22,13.20,13.42,30913224
27-Sep-11,14.17,14.29,13.73,13.84,19535680
26-Sep-11,13.96,14.00,13.20,13.82,24303023
23-Sep-11,13.43,14.18,13.35,13.79,25295169
22-Sep-11,13.90,13.92,13.25,13.51,32865773
21-Sep-11,14.83,15.08,14.46,14.46,17888513
20-Sep-11,15.33,15.39,14.68,14.75,19810897
