Date,Open,High,Low,Close,Volume
24-Aug-12,5.90,5.90,5.64,5.67,2890065
23-Aug-12,5.67,6.05,5.60,5.89,5355419
22-Aug-12,5.70,5.81,5.51,5.58,3263813
21-Aug-12,5.36,5.96,5.30,5.76,6111121
20-Aug-12,5.28,5.45,5.05,5.33,2913878
17-Aug-12,5.29,5.40,5.14,5.26,2525059
16-Aug-12,5.04,5.41,4.84,5.25,4250003
15-Aug-12,4.69,4.83,4.47,4.83,5500620
14-Aug-12,5.13,5.13,4.79,4.84,2980439
13-Aug-12,5.15,5.21,4.97,5.06,2812816
10-Aug-12,5.37,5.37,4.96,5.18,4715306
9-Aug-12,5.43,5.58,5.40,5.47,1459473
8-Aug-12,5.50,5.70,5.36,5.45,2278076
7-Aug-12,5.52,5.75,5.52,5.60,1915835
6-Aug-12,5.64,5.70,5.49,5.50,2526948
3-Aug-12,5.87,5.89,5.59,5.71,2585482
2-Aug-12,5.75,5.93,5.55,5.65,3369134
1-Aug-12,6.22,6.25,5.68,5.81,3413368
31-Jul-12,5.75,6.86,5.56,6.27,19462733
30-Jul-12,7.60,7.67,6.21,6.36,19027185
27-Jul-12,6.80,7.15,6.24,7.08,14477237
26-Jul-12,6.07,6.09,4.91,5.44,4416037
25-Jul-12,6.09,6.21,5.88,5.97,1941345
24-Jul-12,6.08,6.21,5.92,6.09,2127838
23-Jul-12,5.98,6.25,5.65,6.09,4071083
20-Jul-12,5.56,6.12,5.47,6.00,5601830
19-Jul-12,4.90,5.87,4.87,5.61,9624316
18-Jul-12,4.45,4.57,4.37,4.56,1699468
17-Jul-12,4.49,4.59,4.40,4.48,1261362
16-Jul-12,4.32,4.56,4.30,4.46,2536288
13-Jul-12,4.40,4.47,4.21,4.26,2633956
12-Jul-12,4.52,4.56,4.31,4.36,2442900
11-Jul-12,4.53,4.70,4.36,4.50,12624890
10-Jul-12,6.04,6.04,5.41,5.45,5215222
9-Jul-12,6.31,6.31,5.84,5.99,2199831
6-Jul-12,6.08,6.32,5.93,6.31,1284134
5-Jul-12,6.30,6.47,6.10,6.17,1767420
3-Jul-12,5.91,6.27,5.86,6.27,1863149
2-Jul-12,5.31,5.92,5.31,5.85,3014476
29-Jun-12,5.13,5.36,5.02,5.29,1930978
28-Jun-12,4.97,5.02,4.81,4.95,1770553
27-Jun-12,5.14,5.14,4.91,5.00,1367878
26-Jun-12,5.35,5.42,5.07,5.09,1628566
25-Jun-12,5.52,5.57,5.33,5.37,1161410
22-Jun-12,5.40,5.67,5.27,5.63,3367684
21-Jun-12,5.65,5.75,5.32,5.37,1227474
20-Jun-12,5.73,5.84,5.62,5.63,1230014
19-Jun-12,5.47,5.73,5.36,5.71,2418237
18-Jun-12,5.50,5.54,5.42,5.44,983245
15-Jun-12,5.30,5.53,5.23,5.53,1172217
14-Jun-12,5.22,5.37,5.05,5.29,1038003
13-Jun-12,5.36,5.48,5.19,5.24,1735414
12-Jun-12,4.96,5.38,4.96,5.36,1759670
11-Jun-12,5.32,5.38,4.92,4.94,2781434
8-Jun-12,4.70,5.36,4.51,5.15,3948277
7-Jun-12,4.53,4.76,4.41,4.74,1712531
6-Jun-12,4.44,4.60,4.38,4.48,1265948
5-Jun-12,4.15,4.54,4.14,4.41,1498201
4-Jun-12,4.25,4.43,4.15,4.17,1531171
1-Jun-12,4.38,4.41,4.20,4.26,2260443
31-May-12,4.60,4.71,4.46,4.48,2380531
30-May-12,4.83,4.86,4.57,4.58,2441705
29-May-12,5.01,5.16,4.83,4.91,2315912
25-May-12,5.26,5.29,4.90,4.94,1212007
24-May-12,5.27,5.41,5.10,5.28,2429915
23-May-12,4.95,5.11,4.78,5.10,942299
22-May-12,5.09,5.12,4.91,4.98,1407273
21-May-12,4.84,5.10,4.77,5.08,1731211
18-May-12,5.12,5.18,4.77,4.79,2268328
17-May-12,5.20,5.27,5.02,5.12,1609008
16-May-12,5.64,5.78,5.15,5.19,1765375
15-May-12,5.49,5.70,5.44,5.61,1153107
14-May-12,5.19,5.52,5.15,5.50,993739
11-May-12,5.24,5.54,5.15,5.26,1319719
10-May-12,5.42,5.48,5.19,5.28,1596022
9-May-12,5.14,5.89,5.05,5.38,3078008
8-May-12,5.28,5.31,5.06,5.24,1874556
7-May-12,5.41,5.46,5.27,5.30,1510799
4-May-12,5.58,5.60,5.34,5.39,2783296
3-May-12,5.15,5.58,4.86,5.56,5454742
2-May-12,6.35,6.35,5.14,5.15,11250624
1-May-12,5.97,6.21,5.94,5.99,4106446
30-Apr-12,5.93,5.93,5.70,5.90,1698084
27-Apr-12,5.99,6.00,5.68,5.95,1428278
26-Apr-12,5.67,6.04,5.60,5.97,3112929
25-Apr-12,5.65,5.73,5.60,5.69,1994063
24-Apr-12,5.80,5.86,5.48,5.56,2051555
23-Apr-12,5.60,5.83,5.41,5.80,2504714
20-Apr-12,6.00,6.00,5.55,5.64,4856120
19-Apr-12,6.15,6.26,5.94,5.97,2736257
18-Apr-12,6.45,6.52,6.14,6.18,2966964
17-Apr-12,6.45,6.76,6.45,6.49,1837494
16-Apr-12,6.55,6.61,6.39,6.42,1483700
13-Apr-12,6.75,6.77,6.48,6.54,1537210
12-Apr-12,6.66,6.96,6.63,6.80,1295811
11-Apr-12,6.72,6.92,6.65,6.70,1674659
10-Apr-12,7.13,7.26,6.59,6.63,2480321
9-Apr-12,7.25,7.41,7.09,7.18,2584439
5-Apr-12,6.83,7.49,6.60,7.44,4932674
4-Apr-12,7.09,7.20,6.67,6.73,2148953
3-Apr-12,7.12,7.30,7.09,7.15,1415758
2-Apr-12,7.00,7.18,6.90,7.10,1032662
30-Mar-12,7.08,7.17,6.78,6.98,1756983
29-Mar-12,7.21,7.34,6.85,7.00,2032067
28-Mar-12,7.30,7.33,6.83,7.28,2885137
27-Mar-12,7.49,7.65,7.22,7.26,1086792
26-Mar-12,7.41,7.53,7.35,7.44,1125913
23-Mar-12,7.50,7.56,7.01,7.30,3972318
22-Mar-12,7.71,7.78,7.35,7.49,3184893
21-Mar-12,8.05,8.15,7.77,7.78,1670180
20-Mar-12,8.08,8.17,7.98,8.04,1071219
19-Mar-12,8.18,8.35,8.14,8.16,1011094
16-Mar-12,8.39,8.47,8.19,8.21,1556975
15-Mar-12,8.32,8.47,8.13,8.38,1094057
14-Mar-12,8.78,8.86,8.20,8.31,1540768
13-Mar-12,8.57,8.74,8.42,8.71,1165226
12-Mar-12,8.91,9.09,8.55,8.60,1578325
9-Mar-12,8.77,9.00,8.69,8.88,2455597
8-Mar-12,8.67,8.82,8.65,8.69,1281217
