Date,Open,High,Low,Close,Volume
24-Aug-12,140.30,141.80,140.22,141.52,21488373
23-Aug-12,141.45,141.48,140.44,140.68,24270285
22-Aug-12,141.38,142.05,141.08,141.82,19786628
21-Aug-12,142.52,143.09,141.46,141.76,17889256
20-Aug-12,142.01,142.22,141.60,142.22,13712093
17-Aug-12,142.25,142.30,141.86,142.22,19903962
16-Aug-12,141.09,142.16,140.80,142.01,21476293
15-Aug-12,140.64,141.19,140.55,140.95,14261624
14-Aug-12,141.28,141.38,140.37,140.79,19130889
13-Aug-12,140.60,140.84,140.04,140.77,18456912
10-Aug-12,140.07,140.89,139.81,140.84,18724574
9-Aug-12,140.30,140.88,140.15,140.63,16488684
8-Aug-12,139.82,140.64,139.81,140.49,16627597
7-Aug-12,140.20,140.91,140.15,140.32,19032269
6-Aug-12,139.70,140.16,139.56,139.62,20989925
3-Aug-12,138.60,139.63,138.50,139.39,33466049
2-Aug-12,136.54,137.57,135.59,136.64,40290603
1-Aug-12,138.72,138.72,137.40,137.59,28345389
31-Jul-12,138.51,138.87,137.71,137.71,22563632
30-Jul-12,138.57,139.33,138.27,138.68,20502889
27-Jul-12,136.91,139.07,136.66,138.80,46734581
26-Jul-12,135.91,136.46,135.26,136.17,33011129
25-Jul-12,134.26,134.56,133.26,133.95,27767098
24-Jul-12,135.20,135.24,133.04,134.03,37032442
23-Jul-12,134.45,135.46,133.85,135.09,30475138
20-Jul-12,136.98,137.16,136.32,136.47,27973940
19-Jul-12,137.63,138.18,137.21,137.74,25829058
18-Jul-12,136.02,137.64,135.96,137.41,24065894
17-Jul-12,136.01,136.63,134.56,136.36,28547712
16-Jul-12,135.42,135.83,134.90,135.39,18594978
13-Jul-12,133.88,135.89,133.84,135.75,27430911
12-Jul-12,133.39,134.10,132.60,133.51,29715598
11-Jul-12,134.23,134.60,133.38,134.16,27385094
10-Jul-12,136.08,136.23,133.68,134.14,30450240
9-Jul-12,135.41,135.57,134.70,135.32,19705864
6-Jul-12,135.56,135.77,134.86,135.59,30405365
5-Jul-12,136.93,137.40,136.29,136.84,23446764
3-Jul-12,136.51,137.50,136.34,137.47,14837685
2-Jul-12,136.53,136.65,135.53,136.46,27290924
29-Jun-12,135.24,136.27,134.85,136.27,42575829
28-Jun-12,132.32,132.99,131.29,132.79,33955169
27-Jun-12,132.40,133.43,132.32,133.17,21385160
26-Jun-12,131.69,132.38,130.94,132.00,27578814
25-Jun-12,132.10,132.10,130.85,131.26,31219502
22-Jun-12,133.11,133.71,132.63,133.42,28425586
21-Jun-12,135.67,135.78,132.33,132.44,42681082
20-Jun-12,135.76,136.09,134.27,135.44,36916171
19-Jun-12,135.13,136.24,134.93,135.69,25030313
18-Jun-12,133.59,134.73,133.28,134.43,29353246
15-Jun-12,133.57,133.57,133.57,133.57,0
14-Jun-12,132.38,134.00,131.99,133.57,40630557
13-Jun-12,132.50,133.36,131.62,132.10,30275262
12-Jun-12,131.80,133.01,131.16,133.01,33235935
11-Jun-12,134.19,134.25,131.28,131.45,34625482
8-Jun-12,131.72,133.12,131.29,133.12,28716688
7-Jun-12,133.49,133.53,131.79,132.05,37602721
6-Jun-12,129.98,132.03,129.93,132.02,36871391
5-Jun-12,127.88,129.26,127.79,129.03,30729646
4-Jun-12,128.44,128.74,127.14,128.10,45803224
1-Jun-12,129.41,129.85,128.16,128.16,52417135
31-May-12,131.71,132.45,130.34,131.49,38875284
30-May-12,132.59,132.62,131.49,131.73,34242987
29-May-12,133.16,133.92,132.75,133.70,32727593
25-May-12,132.48,132.85,131.78,132.10,28450945
24-May-12,132.67,132.84,131.42,132.53,31309748
23-May-12,131.26,132.46,129.99,132.27,38850121
22-May-12,132.34,133.23,131.35,132.20,33133055
21-May-12,130.14,132.02,129.95,132.02,37132290
18-May-12,131.40,131.60,129.56,129.74,56712718
17-May-12,132.88,133.02,130.81,130.87,44247336
16-May-12,133.92,134.54,132.81,132.88,41923924
15-May-12,134.05,134.80,133.13,133.35,37874871
14-May-12,134.32,135.03,133.91,134.13,30792744
11-May-12,135.16,136.86,135.11,135.56,32950628
10-May-12,136.75,136.85,135.71,135.95,30797868
9-May-12,135.10,136.61,134.49,135.74,42745341
8-May-12,136.31,136.77,134.93,136.50,37323139
7-May-12,136.48,137.55,136.46,137.10,25327785
4-May-12,138.52,138.66,136.92,136.96,34277304
3-May-12,140.40,140.45,139.00,139.25,29832558
2-May-12,139.93,140.46,139.47,140.28,26238380
1-May-12,139.81,141.66,139.63,140.74,24252370
30-Apr-12,140.13,140.21,139.50,139.77,27379648
