Date,Open,High,Low,Close,Volume
22-Apr-13,7.42,7.77,6.90,7.03,26901545
19-Apr-13,8.32,8.43,7.20,7.33,33063220
18-Apr-13,7.84,8.95,7.80,8.56,52222846
17-Apr-13,6.89,8.34,6.88,7.88,65862698
16-Apr-13,6.94,7.22,6.35,6.39,39009361
15-Apr-13,6.37,8.21,6.18,7.75,65812357
12-Apr-13,6.69,6.81,6.26,6.28,23681743
11-Apr-13,6.53,6.63,6.30,6.52,21229259
10-Apr-13,6.80,6.85,6.55,6.57,24896779
9-Apr-13,7.02,7.25,6.81,6.95,26215854
8-Apr-13,7.45,7.65,7.13,7.16,24446809
5-Apr-13,8.35,8.43,7.55,7.57,34245919
4-Apr-13,7.73,8.14,7.50,7.52,33539418
3-Apr-13,7.24,7.91,7.15,7.75,34214000
2-Apr-13,7.51,7.56,7.25,7.25,25406173
1-Apr-13,7.62,7.90,7.56,7.73,21054645
28-Mar-13,7.69,7.83,7.63,7.69,20035997
27-Mar-13,7.97,8.09,7.63,7.74,29187384
26-Mar-13,7.76,7.95,7.52,7.58,31636638
25-Mar-13,7.81,8.50,7.60,8.02,48230841
22-Mar-13,8.00,8.50,7.94,8.24,28081214
21-Mar-13,8.26,8.50,7.87,8.29,35637736
20-Mar-13,8.17,8.34,7.80,7.86,35967009
19-Mar-13,8.39,9.70,8.31,8.78,58244576
18-Mar-13,8.96,9.00,8.08,8.78,37488474
15-Mar-13,8.04,8.30,7.86,7.93,22931341
14-Mar-13,8.06,8.25,7.90,7.97,20616896
13-Mar-13,8.30,8.65,8.15,8.26,24315517
12-Mar-13,8.14,8.86,8.04,8.36,33317807
11-Mar-13,8.84,8.92,8.10,8.13,27283917
8-Mar-13,8.79,9.38,8.75,8.86,27340453
7-Mar-13,9.41,9.58,9.10,9.10,19948736
6-Mar-13,9.17,9.84,9.15,9.47,24031704
5-Mar-13,9.42,9.62,9.30,9.40,21142280
4-Mar-13,11.59,11.70,10.04,10.06,26183033
1-Mar-13,11.93,12.49,10.89,11.26,44064434
28-Feb-13,10.27,10.95,9.93,10.93,26685292
27-Feb-13,12.15,12.40,9.91,10.31,32190010
26-Feb-13,12.31,13.84,11.55,11.99,53166719
25-Feb-13,9.25,12.86,9.00,12.65,42842806
22-Feb-13,10.15,10.55,9.90,9.91,16685325
21-Feb-13,10.24,11.39,10.24,10.63,35264249
20-Feb-13,8.83,10.35,8.80,10.31,23601769
19-Feb-13,9.45,9.46,8.71,8.76,19311072
15-Feb-13,9.55,10.03,9.47,9.60,17570063
14-Feb-13,10.17,10.29,9.64,9.74,13746510
13-Feb-13,9.89,10.38,9.68,10.07,15734385
12-Feb-13,10.12,10.26,9.77,9.92,13374717
11-Feb-13,10.43,10.62,10.06,10.12,11787293
8-Feb-13,10.78,10.81,10.41,10.53,13742266
7-Feb-13,10.72,11.81,10.68,10.92,20398098
6-Feb-13,11.59,11.66,11.01,11.02,13061481
5-Feb-13,11.62,11.69,10.70,11.14,14395814
4-Feb-13,11.28,12.12,11.04,12.10,16836199
1-Feb-13,10.92,10.93,10.35,10.64,15965492
31-Jan-13,11.93,12.08,11.32,11.85,12435551
30-Jan-13,10.96,11.80,10.69,11.79,18112509
29-Jan-13,11.45,11.62,10.30,10.45,18070032
28-Jan-13,10.50,11.39,10.49,11.15,14236831
25-Jan-13,10.46,10.96,10.20,10.56,15886046
24-Jan-13,10.42,11.59,10.10,10.38,20178272
23-Jan-13,10.86,10.94,10.18,10.29,12792327
22-Jan-13,11.58,12.00,10.77,10.87,10231291
18-Jan-13,13.00,13.16,11.44,11.56,16962478
17-Jan-13,12.75,13.26,12.66,13.25,9246167
16-Jan-13,13.47,13.61,12.84,13.12,10632319
15-Jan-13,14.04,14.13,13.44,13.67,9007951
14-Jan-13,14.09,14.32,13.57,13.73,10746818
11-Jan-13,14.30,14.65,14.13,14.16,8383373
10-Jan-13,14.44,14.88,14.22,14.27,10443016
9-Jan-13,14.47,15.26,14.40,14.98,8969741
8-Jan-13,15.11,15.64,14.84,14.96,11735756
7-Jan-13,15.70,15.95,15.15,15.27,10620487
4-Jan-13,15.92,16.07,15.17,15.30,11683015
3-Jan-13,16.10,16.45,15.41,15.93,13388004
2-Jan-13,16.72,17.84,16.02,16.07,12787498
31-Dec-12,28.62,29.20,20.25,20.90,13931706
28-Dec-12,26.65,27.90,25.33,27.54,11911640
27-Dec-12,24.95,28.28,24.42,25.03,15301896
26-Dec-12,23.35,25.15,23.21,25.06,6986498
24-Dec-12,22.63,23.18,22.41,22.55,3669349
21-Dec-12,23.97,24.11,22.59,23.28,13217434
20-Dec-12,19.51,20.82,19.24,20.57,8480730
19-Dec-12,17.57,19.68,17.56,19.63,11092514
18-Dec-12,18.43,18.62,17.34,17.60,9436322
17-Dec-12,20.60,20.65,19.00,19.05,6531933
14-Dec-12,20.37,20.98,20.14,20.46,6847297
13-Dec-12,19.38,20.80,19.17,20.17,8225811
12-Dec-12,18.40,19.55,18.20,19.46,8796222
11-Dec-12,19.35,19.64,18.54,18.54,8580425
10-Dec-12,19.71,20.22,19.46,19.88,4067397
7-Dec-12,20.13,21.10,19.28,19.38,6942967
6-Dec-12,20.33,21.16,20.19,20.80,6611155
5-Dec-12,21.07,22.06,20.14,20.41,8405206
4-Dec-12,20.66,21.68,20.07,21.07,9043133
