Date,Open,High,Low,Close,Volume
10-Jul-12,71.93,72.58,71.64,72.11,13331910
9-Jul-12,71.26,71.76,71.02,71.76,11150896
6-Jul-12,70.73,71.36,70.73,71.36,8009238
5-Jul-12,70.37,71.30,70.37,71.08,12444784
3-Jul-12,69.65,70.77,69.30,70.75,9394728
2-Jul-12,69.60,69.95,69.15,69.35,10426433
29-Jun-12,68.94,69.72,68.56,69.72,10672501
28-Jun-12,67.92,68.34,67.49,68.30,8578654
27-Jun-12,68.59,68.75,68.26,68.59,8798110
26-Jun-12,68.48,68.92,68.25,68.58,10812968
25-Jun-12,67.06,68.23,67.06,68.18,11830506
22-Jun-12,68.09,68.35,67.19,67.30,11405910
21-Jun-12,68.49,68.66,67.68,67.70,9843620
20-Jun-12,67.86,68.54,67.78,68.52,8990501
19-Jun-12,68.09,68.25,67.70,67.81,7906200
18-Jun-12,67.47,68.28,67.43,68.12,7553498
15-Jun-12,68.05,68.06,67.59,67.75,12751217
14-Jun-12,67.10,67.79,67.09,67.63,9995384
13-Jun-12,67.59,67.75,66.96,67.07,10748883
12-Jun-12,67.67,67.85,67.30,67.72,8988074
11-Jun-12,68.39,68.48,67.47,67.53,10493601
8-Jun-12,66.19,68.23,66.08,68.22,18012544
7-Jun-12,66.08,66.08,65.78,65.87,12547088
6-Jun-12,65.60,65.97,65.46,65.93,10847071
5-Jun-12,65.74,65.90,65.43,65.50,9341251
4-Jun-12,65.90,66.13,65.40,65.99,13877773
1-Jun-12,65.43,65.88,65.13,65.55,15302052
31-May-12,65.40,66.66,65.38,65.82,16771273
30-May-12,65.41,65.95,65.33,65.44,9980444
29-May-12,65.40,65.76,65.21,65.68,10037047
25-May-12,64.86,65.50,64.80,65.31,10180866
24-May-12,64.71,65.18,64.46,65.07,11303256
23-May-12,63.39,64.69,63.29,64.58,15682158
22-May-12,62.99,63.95,62.90,63.73,12074555
21-May-12,62.38,63.10,62.14,63.04,11150092
18-May-12,61.87,62.63,61.76,62.43,16631181
17-May-12,61.34,62.50,61.25,61.68,29295156
16-May-12,59.53,59.66,59.16,59.19,10838704
15-May-12,58.95,59.65,58.95,59.35,10561363
14-May-12,59.09,59.55,58.92,59.07,6201061
11-May-12,59.08,59.65,58.80,59.42,7473540
10-May-12,59.35,59.61,59.09,59.19,7740689
9-May-12,58.48,59.24,58.27,59.03,11158088
8-May-12,59.06,59.37,58.63,59.05,10273782
7-May-12,58.55,59.36,58.55,59.19,8659390
4-May-12,58.86,59.18,58.68,58.70,6953880
3-May-12,59.20,59.20,58.81,58.99,6892609
2-May-12,58.96,59.32,58.82,59.01,7347634
1-May-12,58.95,59.27,58.48,59.07,9916168
30-Apr-12,58.82,58.99,58.53,58.91,7482877
27-Apr-12,59.18,59.46,58.94,59.03,8521380
26-Apr-12,57.59,59.43,57.57,58.95,25095703
25-Apr-12,57.91,58.43,57.18,57.36,28012728
24-Apr-12,59.26,59.35,57.64,57.77,30099452
23-Apr-12,59.15,60.24,59.13,59.54,38007283
20-Apr-12,61.70,62.49,61.66,62.45,8997648
19-Apr-12,61.96,62.05,61.47,61.75,6379504
18-Apr-12,61.55,62.25,61.55,62.06,7957298
17-Apr-12,61.11,61.95,61.09,61.87,10676308
16-Apr-12,59.94,60.81,59.87,60.58,6844578
13-Apr-12,60.00,60.21,59.75,59.77,6695991
12-Apr-12,59.80,60.20,59.56,60.14,7367649
11-Apr-12,60.29,60.29,59.66,59.80,7748050
10-Apr-12,60.03,60.39,59.55,59.93,9553144
9-Apr-12,60.22,60.34,60.08,60.13,6835088
5-Apr-12,60.20,60.69,60.07,60.67,6528712
