#Ticker	Name	Sector	Asset Class	Market Value	Weight (%)	Notional Value	Quantity	CUSIP	ISIN	SEDOL	Accrual Date
FTAI	FTAI AVIATION LTD	Industrials	Equity	$436,805,387.20	0.55	436,805,387.20	2,780,960.00	-	KYG3730V1059	BLKFTK4	-
SFM	SPROUTS FARMERS MARKET INC	Consumer Staples	Equity	$400,916,202.30	0.51	400,916,202.30	2,762,082.00	85208M102	US85208M1027	BCGCR79	-
PCVX	VAXCYTE INC	Health Care	Equity	$348,729,190.78	0.44	348,729,190.78	3,269,234.00	92243G108	US92243G1085	BKPVGH6	-
INSM	INSMED INC	Health Care	Equity	$316,417,101.62	0.40	316,417,101.62	4,302,653.00	457669307	US4576693075	2614487	-
MLI	MUELLER INDUSTRIES INC	Industrials	Equity	$290,009,921.60	0.37	290,009,921.60	3,072,139.00	624756102	US6247561029	2609717	-
AIT	APPLIED INDUSTRIAL TECHNOLOGIES IN	Industrials	Equity	$283,943,718.09	0.36	283,943,718.09	1,058,583.00	03820C105	US03820C1053	2086309	-
FN	FABRINET	Information Technology	Equity	$270,868,557.60	0.34	270,868,557.60	999,220.00	-	KYG3323L1005	B4JSZL8	-
LUMN	LUMEN TECHNOLOGIES INC	Communication	Equity	$265,870,436.44	0.34	265,870,436.44	27,723,716.00	550241103	US5502411037	BMDH249	-
RVMD	REVOLUTION MEDICINES INC	Health Care	Equity	$252,133,800.72	0.32	252,133,800.72	4,171,638.00	76155X100	US76155X1000	BL71K91	-
FLR	FLUOR CORP	Industrials	Equity	$238,694,191.23	0.30	238,694,191.23	4,686,711.00	343412102	US3434121022	2696838	-
CRS	CARPENTER TECHNOLOGY CORP	Materials	Equity	$231,235,786.92	0.29	231,235,786.92	1,305,237.00	144285103	US1442851036	2177504	-
HQY	HEALTHEQUITY INC	Health Care	Equity	$229,151,919.24	0.29	229,151,919.24	2,318,882.00	42226A107	US42226A1079	BP8XZL1	-
SSB	SOUTHSTATE CORP	Financials	Equity	$227,056,781.07	0.29	227,056,781.07	2,094,813.00	840441109	US8404411097	BNFX071	-
ENSG	ENSIGN GROUP INC	Health Care	Equity	$225,875,119.70	0.29	225,875,119.70	1,524,638.00	29358P101	US29358P1012	B1YWPP8	-
UFPI	UFP INDUSTRIES INC	Industrials	Equity	$223,404,297.78	0.28	223,404,297.78	1,661,122.00	90278Q108	US90278Q1085	BMQ60Q1	-
SPXC	SPX TECHNOLOGIES INC	Industrials	Equity	$209,136,768.33	0.27	209,136,768.33	1,236,837.00	78473E103	US78473E1038	BQ1L7V3	-
HALO	HALOZYME THERAPEUTICS INC	Health Care	Equity	$208,460,312.94	0.26	208,460,312.94	3,418,503.00	40637H109	US40637H1095	2975098	-
TMHC	TAYLOR MORRISON HOME CORP	Consumer Discretionary	Equity	$208,113,911.06	0.26	208,113,911.06	2,837,659.00	87724P106	US87724P1066	B832462	-
CVLT	COMMVAULT SYSTEMS INC	Information Technology	Equity	$205,738,680.21	0.26	205,738,680.21	1,199,153.00	204166102	US2041661024	B142B38	-
HLNE	HAMILTON LANE INC CLASS A	Financials	Equity	$204,293,263.11	0.26	204,293,263.11	1,050,513.00	407497106	US4074971064	BF0SR29	-
ANF	ABERCROMBIE AND FITCH CLASS A	Consumer Discretionary	Equity	$198,509,003.34	0.25	198,509,003.34	1,378,822.00	002896207	US0028962076	2004185	-
CMC	COMMERCIAL METALS	Materials	Equity	$198,326,452.96	0.25	198,326,452.96	3,186,479.00	201723103	US2017231034	2213260	-
EXLS	EXLSERVICE HOLDINGS INC	Industrials	Equity	$196,803,033.51	0.25	196,803,033.51	4,303,587.00	302081104	US3020811044	B07LST0	-
GTLS	CHART INDUSTRIES INC	Industrials	Equity	$196,123,241.79	0.25	196,123,241.79	1,177,281.00	16115Q308	US16115Q3083	B19HNF4	-
CSWI	CSW INDUSTRIALS INC	Industrials	Equity	$190,560,303.05	0.24	190,560,303.05	453,661.00	126402106	US1264021064	BYQD1J6	-
GKOS	GLAUKOS CORP	Health Care	Equity	$190,424,398.50	0.24	190,424,398.50	1,343,382.00	377322102	US3773221029	BYMWL19	-
ONB	OLD NATIONAL BANCORP	Financials	Equity	$189,381,051.25	0.24	189,381,051.25	8,667,325.00	680033107	US6800331075	2658441	-
SPSC	SPS COMMERCE INC	Information Technology	Equity	$188,833,834.88	0.24	188,833,834.88	1,019,456.00	78463M107	US78463M1071	B57VWJ3	-
MTH	MERITAGE CORP	Consumer Discretionary	Equity	$187,673,993.67	0.24	187,673,993.67	983,771.00	59001A102	US59001A1025	2601326	-
JXN	JACKSON FINANCIAL INC CLASS A	Financials	Equity	$185,865,599.01	0.24	185,865,599.01	1,716,369.00	46817M107	US46817M1071	BMFX6P4	-
RHP	RYMAN HOSPITALITY PROPERTIES REIT	Real Estate	Equity	$183,400,200.00	0.23	183,400,200.00	1,630,224.00	78377T107	US78377T1079	B8QV5C9	-
MOD	MODINE MANUFACTURING	Consumer Discretionary	Equity	$181,620,733.96	0.23	181,620,733.96	1,417,583.00	607828100	US6078281002	2598354	-
CYTK	CYTOKINETICS INC	Health Care	Equity	$181,484,009.72	0.23	181,484,009.72	3,130,114.00	23282W605	US23282W6057	BBBSBJ5	-
BECN	BEACON ROOFING SUPPLY INC	Industrials	Equity	$180,444,656.00	0.23	180,444,656.00	1,747,648.00	073685109	US0736851090	B02TS99	-
HRI	HERC HOLDINGS INC	Industrials	Equity	$180,347,551.14	0.23	180,347,551.14	772,598.00	42704L104	US42704L1044	BZBZ020	-
CWST	CASELLA WASTE SYSTEMS INC CLASS A	Industrials	Equity	$180,171,528.57	0.23	180,171,528.57	1,690,323.00	147448104	US1474481041	2120490	-
BMI	BADGER METER INC	Information Technology	Equity	$179,841,058.02	0.23	179,841,058.02	804,766.00	056525108	US0565251081	2069128	-
NOVT	NOVANTA INC	Information Technology	Equity	$179,454,538.25	0.23	179,454,538.25	982,505.00	67000B104	CA67000B1040	BD8S5H8	-
COOP	MR COOPER GROUP INC	Financials	Equity	$179,459,428.80	0.23	179,459,428.80	1,777,530.00	62482R107	US62482R1077	BGHKHS1	-
GBCI	GLACIER BANCORP INC	Financials	Equity	$176,384,877.00	0.22	176,384,877.00	3,125,175.00	37637Q105	US37637Q1058	2370585	-
MOGA	MOOG INC CLASS A	Industrials	Equity	$175,644,496.32	0.22	175,644,496.32	785,249.00	615394202	US6153942023	2601218	-
XTSLA	BLK CSH FND TREASURY SL AGENCY	Cash and/or Derivatives	Money Market	$174,557,404.82	0.22	174,557,404.82	174,557,405.00	066922477	US0669224778	6922477	-
ZETA	ZETA GLOBAL HOLDINGS CORP CLASS A	Information Technology	Equity	$174,347,230.26	0.22	174,347,230.26	4,900,147.00	98956A105	US98956A1051	BN0TQF4	-
BPMC	BLUEPRINT MEDICINES CORP	Health Care	Equity	$173,801,981.79	0.22	173,801,981.79	1,723,713.00	09627Y109	US09627Y1091	BWY52P3	-
CBT	CABOT CORP	Materials	Equity	$171,602,911.71	0.22	171,602,911.71	1,492,329.00	127055101	US1270551013	2162500	-
UPST	UPSTART HOLDINGS INC	Financials	Equity	$170,863,830.00	0.22	170,863,830.00	2,109,430.00	91680M107	US91680M1071	BL53QN5	-
CRDO	CREDO TECHNOLOGY GROUP HOLDING LTD	Information Technology	Equity	$169,346,832.00	0.22	169,346,832.00	3,528,059.00	-	KYG254571055	BLD13F2	-
ACIW	ACI WORLDWIDE INC	Information Technology	Equity	$169,211,283.33	0.21	169,211,283.33	2,916,933.00	004498101	US0044981019	2889155	-
MDGL	MADRIGAL PHARMACEUTICALS INC	Health Care	Equity	$168,555,187.50	0.21	168,555,187.50	480,625.00	558868105	US5588681057	BD59BS7	-
SUM	SUMMIT MATERIALS INC CLASS A	Materials	Equity	$168,346,564.27	0.21	168,346,564.27	3,339,547.00	86614U100	US86614U1007	BW9JPS4	-
SIGI	SELECTIVE INSURANCE GROUP INC	Financials	Equity	$167,953,114.12	0.21	167,953,114.12	1,681,549.00	816300107	US8163001071	2766173	-
QTWO	Q2 HOLDINGS INC	Information Technology	Equity	$166,905,650.56	0.21	166,905,650.56	1,624,544.00	74736L109	US74736L1098	BKM4KV0	-
RMBS	RAMBUS INC	Information Technology	Equity	$166,370,655.16	0.21	166,370,655.16	2,982,622.00	750917106	US7509171069	2721967	-
LNTH	LANTHEUS HOLDINGS INC	Health Care	Equity	$165,079,775.00	0.21	165,079,775.00	1,886,626.00	516544103	US5165441032	BP8S8J5	-
KRG	KITE REALTY GROUP TRUST REIT	Real Estate	Equity	$164,944,524.60	0.21	164,944,524.60	6,008,908.00	49803T300	US49803T3005	BPBSZJ1	-
AVAV	AEROVIRONMENT INC	Industrials	Equity	$163,296,427.27	0.21	163,296,427.27	716,621.00	008073108	US0080731088	B1P5YY8	-
ALTR	ALTAIR ENGINEERING INC CLASS A	Information Technology	Equity	$162,886,700.55	0.21	162,886,700.55	1,571,507.00	021369103	US0213691035	BD6D4Y5	-
TRNO	TERRENO REALTY REIT CORP	Real Estate	Equity	$162,517,500.00	0.21	162,517,500.00	2,621,250.00	88146M101	US88146M1018	B3N4753	-
CHX	CHAMPIONX CORP	Energy	Equity	$162,010,575.68	0.21	162,010,575.68	5,261,792.00	15872M104	US15872M1045	BMW7N69	-
PIPR	PIPER SANDLER COMPANIES	Financials	Equity	$161,873,307.72	0.21	161,873,307.72	484,013.00	724078100	US7240781002	2227089	-
MMSI	MERIT MEDICAL SYSTEMS INC	Health Care	Equity	$161,729,403.88	0.21	161,729,403.88	1,574,162.00	589889104	US5898891040	2580555	-
EPRT	ESSENTIAL PROPERTIES REALTY TRUST	Real Estate	Equity	$161,465,666.19	0.21	161,465,666.19	4,879,591.00	29670E107	US29670E1073	BFFK0X2	-
