#Ticker	Name	Sector	Asset Class	Market Value	Weight (%)	Notional Value	Quantity	CUSIP	ISIN	SEDOL	Accrual Date
NVDA	NVIDIA CORP	Information Technology	Equity	$40,515,339,810.96	7.14	40,515,339,810.96	274,438,392.00	67066G104	US67066G1040	2379504	-
AAPL	APPLE INC	Information Technology	Equity	$38,496,429,333.68	6.79	38,496,429,333.68	169,617,683.00	037833100	US0378331005	2046251	-
MSFT	MICROSOFT CORP	Information Technology	Equity	$35,038,253,152.04	6.18	35,038,253,152.04	82,922,926.00	594918104	US5949181045	2588173	-
AMZN	AMAZON COM INC	Consumer Discretionary	Equity	$21,694,379,925.96	3.83	21,694,379,925.96	104,209,722.00	023135106	US0231351067	2000019	-
META	META PLATFORMS INC CLASS A	Communication	Equity	$14,363,974,979.90	2.53	14,363,974,979.90	24,372,985.00	30303M102	US30303M1027	B7TL820	-
GOOGL	ALPHABET INC CLASS A	Communication	Equity	$11,657,503,534.50	2.06	11,657,503,534.50	65,363,070.00	02079K305	US02079K3059	BYVY8G0	-
TSLA	TESLA INC	Consumer Discretionary	Equity	$9,942,670,943.58	1.75	9,942,670,943.58	30,952,839.00	88160R101	US88160R1014	B616C79	-
GOOG	ALPHABET INC CLASS C	Communication	Equity	$9,637,511,043.44	1.70	9,637,511,043.44	53,583,404.00	02079K107	US02079K1079	BYY88Y7	-
AVGO	BROADCOM INC	Information Technology	Equity	$9,536,555,768.04	1.68	9,536,555,768.04	51,930,711.00	11135F101	US11135F1012	BDZ78H9	-
BRKB	BERKSHIRE HATHAWAY INC CLASS B	Financials	Equity	$9,469,730,521.26	1.67	9,469,730,521.26	20,434,886.00	084670702	US0846707026	2073390	-
JPM	JPMORGAN CHASE & CO	Financials	Equity	$7,521,853,499.86	1.33	7,521,853,499.86	31,740,457.00	46625H100	US46625H1005	2190385	-
LLY	ELI LILLY	Health Care	Equity	$7,317,794,809.68	1.29	7,317,794,809.68	8,800,292.00	532457108	US5324571083	2516152	-
UNH	UNITEDHEALTH GROUP INC	Health Care	Equity	$6,344,162,065.02	1.12	6,344,162,065.02	10,302,142.00	91324P102	US91324P1021	2917766	-
XOM	EXXON MOBIL CORP	Energy	Equity	$6,002,686,593.42	1.06	6,002,686,593.42	49,563,922.00	30231G102	US30231G1022	2326618	-
V	VISA INC CLASS A	Financials	Equity	$5,737,295,991.50	1.01	5,737,295,991.50	18,635,450.00	92826C839	US92826C8394	B2PZN04	-
MA	MASTERCARD INC CLASS A	Financials	Equity	$4,830,366,472.56	0.85	4,830,366,472.56	9,204,906.00	57636Q104	US57636Q1040	B121557	-
COST	COSTCO WHOLESALE CORP	Consumer Staples	Equity	$4,667,947,970.40	0.82	4,667,947,970.40	4,945,908.00	22160K105	US22160K1051	2701271	-
HD	HOME DEPOT INC	Consumer Discretionary	Equity	$4,490,307,716.40	0.79	4,490,307,716.40	11,062,596.00	437076102	US4370761029	2434209	-
PG	PROCTER & GAMBLE	Consumer Staples	Equity	$4,404,365,639.45	0.78	4,404,365,639.45	26,261,795.00	742718109	US7427181091	2704407	-
